name	craft	giTag	district	state	coordinates	significance	odopProduct	heritageNote	description	Address	Looms Available	Weaver / Owner
Artisan JAM-101	Pashmina Shawls	N/A	Srinagar	Jammu & Kashmir	[34.0837, 74.7973]	9	Pashmina Shawls Specialty	Spun from the delicate undercoat of Changthangi goats.	Master craft specialist creating premium Pashmina Shawls. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-101
Artisan JAM-102	Kani Weaving	N/A	Budgam	Jammu & Kashmir	[34.0161, 74.7814]	8	Kani Weaving Specialty	Woven using tiny wooden eyeless spools called Kanis with coded Talim guides.	Master craft specialist creating premium Kani Weaving. Registered generational family unit.	Artisan Cluster, Budgam, Jammu & Kashmir	2	Artisan JAM-102
Artisan JAM-103	Papier-mâché Art	N/A	Srinagar	Jammu & Kashmir	[34.1012, 74.8124]	9	Papier-mâché Art Specialty	Molded paper pulp decorated with miniature paintings and gold leaf leafing.	Master craft specialist creating premium Papier-mâché Art. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-103
Artisan JAM-104	Walnut Wood Carving	N/A	Anantnag	Jammu & Kashmir	[33.7311, 75.1481]	8	Walnut Wood Carving Specialty	Intricate deep carving entirely done on seasoned walnut wood panels.	Master craft specialist creating premium Walnut Wood Carving. Registered generational family unit.	Artisan Cluster, Anantnag, Jammu & Kashmir	N/A	Artisan JAM-104
Artisan JAM-105	Khatamband	N/A	Srinagar	Jammu & Kashmir	[34.0911, 74.8012]	9	Khatamband Specialty	Geometric interlocking wooden ceiling craft assembled completely without nails.	Master craft specialist creating premium Khatamband. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-105
Artisan JAM-106	Copperware	N/A	Ganderbal	Jammu & Kashmir	[34.2264, 74.7736]	8	Copperware Specialty	Traditional engraved and tinned copper vessels (Samovars) used in Kashmiri homes.	Master craft specialist creating premium Copperware. Registered generational family unit.	Artisan Cluster, Ganderbal, Jammu & Kashmir	N/A	Artisan JAM-106
Artisan JAM-107	Pashmina Shawls	N/A	Srinagar	Jammu & Kashmir	[34.0837, 74.7973]	9	Pashmina Shawls Specialty	Spun from the delicate undercoat of Changthangi goats.	Master craft specialist creating premium Pashmina Shawls. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-107
Artisan JAM-108	Kani Weaving	N/A	Budgam	Jammu & Kashmir	[34.0161, 74.7814]	8	Kani Weaving Specialty	Woven using tiny wooden eyeless spools called Kanis with coded Talim guides.	Master craft specialist creating premium Kani Weaving. Registered generational family unit.	Artisan Cluster, Budgam, Jammu & Kashmir	2	Artisan JAM-108
Artisan JAM-109	Papier-mâché Art	N/A	Srinagar	Jammu & Kashmir	[34.1012, 74.8124]	9	Papier-mâché Art Specialty	Molded paper pulp decorated with miniature paintings and gold leaf leafing.	Master craft specialist creating premium Papier-mâché Art. Registered generational family unit.	Artisan Cluster, Srinagar, Jammu & Kashmir	N/A	Artisan JAM-109
Artisan JAM-110	Walnut Wood Carving	N/A	Anantnag	Jammu & Kashmir	[33.7311, 75.1481]	8	Walnut Wood Carving Specialty	Intricate deep carving entirely done on seasoned walnut wood panels.	Master craft specialist creating premium Walnut Wood Carving. Registered generational family unit.	Artisan Cluster, Anantnag, Jammu & Kashmir	N/A	Artisan JAM-110
